score,targets_reached,n_steps,payload_accel_w,payload_quat_w_0,payload_quat_w_1,payload_quat_w_2,payload_quat_w_3,drone_quat_w_0,drone_quat_w_1,drone_quat_w_2,drone_quat_w_3,payload_angvel_w,drone_angvel_w,cable_angles_w,N,velocity_ref,r_T,r_tau,W_Tf,T_f_initial
9561,420,693,1,0.32953325272834366,0.4319886408854744,0.4330673733648928,0.45802290826733805,0.4276571818492676,0.37398798749664547,0.4421619143796619,0.39961779702705036,0.3540978987447081,0.2826226096764687,0.13312871294981796,15,4.887369164541975,0.14880458695474355,0.2905202071602022,0.4108072465403437,1.3866985806184071
9401,580,1186,1,0.2156299447217462,0.1048889180360673,0.36931031870269465,0.2695886742283686,0.3435026264584566,0.3791736203274678,0.4229893750253584,0.3984821489664285,0.10463315927829746,0.381555920654072,0.10759469200325572,17,2.665570078079268,0.1435770908648801,0.06735414798194043,0.35442452444267397,1.053006012296795
9401,580,9089,1,0.08678820632499884,0.09311544819766257,0.33987841671559255,0.24416268312974157,0.22858816714171803,0.32285555919819925,0.4695946644946004,0.40116978337770226,0.27107254413912235,0.190095734610719,0.10286742306483801,17,5.466865774034227,0.1424124778646629,0.3788176031535342,0.4402553287704494,0.531857244036126
9893,88,114,2,0.25375767560976537,0.31824554363944196,0.3821065055455388,0.16168048187027925,0.19834000084224035,0.06545135124718797,0.19469477056387716,0.3855487002857033,0.22063222544508584,0.0009814180452261882,0.2773104762316039,15,5.1025369206052416,0.18269484935915603,0.43914405309773114,0.214780864094358,1.6294045460762725
9401,580,1614,0,0.10649798709122169,0.04578293159337544,0.21372527967972169,0.29841962706910946,0.4233287478944096,0.45349096117997556,0.39387710779288926,0.44710513335031377,0.19534148922668412,0.32152794006378155,0.10815455278618553,17,6.569744986333264,0.1347155738355872,0.2060442184219856,0.4927632451366389,1.2954032048706372
9981,0,12001,1,0.2543181515911725,0.07662248763858605,0.3462522487533871,0.4954675445783879,0.4284677509733277,0.45621618681962245,0.20898066461941767,0.4002224993736878,0.18867944138486825,0.27939407536966304,0.08524797423080788,15,8.49061380589115,0.13906516059535684,0.1584942187824671,0.3585460660665995,0.1645507929252113
9845,136,160,4,0.1857655988657725,0.152671604831401,0.09829353120739184,0.31192839546520856,0.49028119895289823,0.3181260456487539,0.40821349482659797,0.3904482632195653,0.14320103440349582,0.28524308566429496,0.06853191946761852,18,4.0908304273640645,0.15084814425216045,0.14028092571247477,0.11252102191796433,1.3720185718662106
9221,760,1891,1,0.23058728499246253,0.1313341649299889,0.04557532677106953,0.2329693543136276,0.21637742670339188,0.3206489163840703,0.4049114440198957,0.3139179660607873,0.02338609641975158,0.28643719637945364,0.2546186577007729,18,1.1797856784515734,0.14946219727682217,0.34176184671237864,0.41495533657501577,1.3193311186483538
9401,580,1503,1,0.1857374821654435,0.21156716501389083,0.11560822796501467,0.2934443150217537,0.20167477293684172,0.3147373222284606,0.3414713794162393,0.36633526096940533,0.27279401751471255,0.26509880613696124,0.17252328336787098,13,6.280949154484268,0.09874788226560814,0.29693101089551405,0.39548722060511027,1.2659311144803094
9401,580,1255,1,0.0961269244592788,0.18034528502200484,0.1372083139534152,0.007142821646682119,0.3932603203494176,0.31838098701447354,0.45037949837729735,0.3054383769519313,0.4381817566950064,0.1967655627459667,0.14111591920663585,20,4.738812547534904,0.16921152535647488,0.293424171275596,0.3640940962483232,1.113448868551218
