   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
1.014889e+03 2.111138e+00 -5.988838e+01 1.105470e+02
1.020953e+03 3.304908e+00 -5.972580e+01 1.164909e+02
1.026961e+03 4.492066e+00 -5.949162e+01 1.223756e+02
1.032892e+03 5.670234e+00 -5.918620e+01 1.281797e+02
1.038725e+03 6.837050e+00 -5.880998e+01 1.338823e+02
1.044441e+03 7.990170e+00 -5.836352e+01 1.394631e+02
1.050021e+03 9.127272e+00 -5.784746e+01 1.449018e+02
1.055447e+03 1.024606e+01 -5.726258e+01 1.501789e+02
1.060701e+03 1.134428e+01 -5.660970e+01 1.552755e+02
1.065767e+03 1.241969e+01 -5.588980e+01 1.601731e+02
1.070628e+03 1.347011e+01 -5.510394e+01 1.648541e+02
1.075271e+03 1.449339e+01 -5.425326e+01 1.693017e+02
1.079681e+03 1.548742e+01 -5.333900e+01 1.735000e+02
1.083847e+03 1.645015e+01 -5.236250e+01 1.774337e+02
1.087758e+03 1.737959e+01 -5.132518e+01 1.810887e+02
1.091407e+03 1.827378e+01 -5.022858e+01 1.844519e+02
1.094787e+03 1.913085e+01 -4.907428e+01 1.875111e+02
1.097896e+03 1.994896e+01 -4.786396e+01 1.902555e+02
1.100735e+03 2.072636e+01 -4.659942e+01 1.926750e+02
1.103309e+03 2.146138e+01 -4.528246e+01 1.947609e+02
1.105631e+03 2.215238e+01 -4.391502e+01 1.965058e+02
1.107722e+03 2.279782e+01 -4.249908e+01 1.979034e+02
1.109617e+03 2.339624e+01 -4.103670e+01 1.989487e+02
1.111363e+03 2.394624e+01 -3.953000e+01 1.996379e+02
1.113023e+03 2.444654e+01 -3.798120e+01 1.999684e+02
1.114675e+03 2.489590e+01 -3.639250e+01 1.999392e+02
1.116393e+03 2.529320e+01 -3.476622e+01 1.995503e+02
1.118247e+03 2.563738e+01 -3.310472e+01 1.988032e+02
1.120290e+03 2.592750e+01 -3.141038e+01 1.977004e+02
1.122558e+03 2.616268e+01 -2.968568e+01 1.962461e+02
1.125077e+03 2.634216e+01 -2.793306e+01 1.944453e+02
1.127863e+03 2.646526e+01 -2.615510e+01 1.923047e+02
1.130922e+03 2.653140e+01 -2.435430e+01 1.898318e+02
1.134259e+03 2.654010e+01 -2.253328e+01 1.870357e+02
1.137872e+03 2.649098e+01 -2.069462e+01 1.839263e+02
1.141756e+03 2.638372e+01 -1.884099e+01 1.805149e+02
1.145904e+03 2.621816e+01 -1.697501e+01 1.768137e+02
1.150307e+03 2.599422e+01 -1.509935e+01 1.728361e+02
1.154955e+03 2.571190e+01 -1.321667e+01 1.685963e+02
1.159834e+03 2.537130e+01 -1.132964e+01 1.641097e+02
1.164931e+03 2.497266e+01 -9.440944e+00 1.593923e+02
1.170231e+03 2.451628e+01 -7.553246e+00 1.544612e+02
1.175717e+03 2.400256e+01 -5.669208e+00 1.493341e+02
1.181374e+03 2.343202e+01 -3.791478e+00 1.440294e+02
1.187181e+03 2.280526e+01 -1.922687e+00 1.385663e+02
1.193122e+03 2.212300e+01 -6.544828e-02 1.329644e+02
1.199178e+03 2.138604e+01 1.777650e+00 1.272439e+02
